,date,geoid,county,state,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
2928,2022-01-01,USA-11001,District of Columbia,District of Columbia,0,2103.0,297.98,0,0.4,0.06
6188,2022-01-02,USA-11001,District of Columbia,District of Columbia,0,2103.0,297.98,0,0.4,0.06
9448,2022-01-03,USA-11001,District of Columbia,District of Columbia,9201,2103.14,298.0,7,1.29,0.18
12708,2022-01-04,USA-11001,District of Columbia,District of Columbia,2006,2122.86,300.79,2,1.38,0.19
15968,2022-01-05,USA-11001,District of Columbia,District of Columbia,1326,2110.57,299.05,2,1.71,0.24
19228,2022-01-06,USA-11001,District of Columbia,District of Columbia,1293,1975.14,279.86,3,2.0,0.28
22488,2022-01-07,USA-11001,District of Columbia,District of Columbia,1928,1969.25,279.03,2,2.0,0.28
25748,2022-01-08,USA-11001,District of Columbia,District of Columbia,0,1969.25,279.03,0,2.0,0.28
29008,2022-01-09,USA-11001,District of Columbia,District of Columbia,0,1969.25,279.03,0,2.0,0.28
32268,2022-01-10,USA-11001,District of Columbia,District of Columbia,6238,1827.29,258.91,6,2.14,0.3
35528,2022-01-11,USA-11001,District of Columbia,District of Columbia,1308,1727.57,244.79,4,2.43,0.34
38788,2022-01-12,USA-11001,District of Columbia,District of Columbia,1216,1711.86,242.56,3,2.57,0.36
42048,2022-01-13,USA-11001,District of Columbia,District of Columbia,1525,1745.0,247.26,5,2.86,0.4
45308,2022-01-14,USA-11001,District of Columbia,District of Columbia,1544,1690.14,239.48,10,4.0,0.57
48568,2022-01-15,USA-11001,District of Columbia,District of Columbia,0,1690.14,239.48,0,4.0,0.57
51828,2022-01-16,USA-11001,District of Columbia,District of Columbia,0,1690.14,239.48,0,4.0,0.57
55088,2022-01-17,USA-11001,District of Columbia,District of Columbia,0,1690.14,239.48,0,4.0,0.57
58348,2022-01-18,USA-11001,District of Columbia,District of Columbia,3836,1160.14,164.38,5,3.29,0.47
61608,2022-01-19,USA-11001,District of Columbia,District of Columbia,480,1055.0,149.49,3,3.29,0.47
64868,2022-01-20,USA-11001,District of Columbia,District of Columbia,488,906.86,128.5,1,2.71,0.38
68129,2022-01-21,USA-11001,District of Columbia,District of Columbia,525,761.29,107.87,3,1.71,0.24
71390,2022-01-22,USA-11001,District of Columbia,District of Columbia,0,761.29,107.87,0,1.71,0.24
74651,2022-01-23,USA-11001,District of Columbia,District of Columbia,0,761.29,107.87,0,1.71,0.24
77912,2022-01-24,USA-11001,District of Columbia,District of Columbia,1350,667.9,94.64,8,2.0,0.28
81173,2022-01-25,USA-11001,District of Columbia,District of Columbia,189,433.14,61.37,3,2.57,0.36
84434,2022-01-26,USA-11001,District of Columbia,District of Columbia,369,417.29,59.13,2,2.43,0.34
87695,2022-01-27,USA-11001,District of Columbia,District of Columbia,371,400.57,56.76,2,2.57,0.36
90955,2022-01-28,USA-11001,District of Columbia,District of Columbia,338,373.86,52.97,2,2.43,0.34
94215,2022-01-29,USA-11001,District of Columbia,District of Columbia,0,373.86,52.97,0,2.43,0.34
97474,2022-01-30,USA-11001,District of Columbia,District of Columbia,0,373.86,52.97,0,2.43,0.34
100733,2022-01-31,USA-11001,District of Columbia,District of Columbia,1071,334.0,47.33,5,2.0,0.28
103992,2022-02-01,USA-11001,District of Columbia,District of Columbia,61,315.71,44.73,1,1.71,0.24
107251,2022-02-02,USA-11001,District of Columbia,District of Columbia,144,283.57,40.18,0,1.71,0.24
110510,2022-02-03,USA-11001,District of Columbia,District of Columbia,191,257.86,36.54,1,1.29,0.18
113769,2022-02-04,USA-11001,District of Columbia,District of Columbia,259,246.57,34.94,2,1.29,0.18
117028,2022-02-05,USA-11001,District of Columbia,District of Columbia,0,246.57,34.94,0,1.29,0.18
120287,2022-02-06,USA-11001,District of Columbia,District of Columbia,0,246.57,34.94,0,1.29,0.18
123546,2022-02-07,USA-11001,District of Columbia,District of Columbia,627,183.14,25.95,11,2.14,0.3
126805,2022-02-08,USA-11001,District of Columbia,District of Columbia,87,186.86,26.48,0,2.14,0.3
130063,2022-02-09,USA-11001,District of Columbia,District of Columbia,127,184.43,26.13,1,1.88,0.27
133321,2022-02-10,USA-11001,District of Columbia,District of Columbia,244,192.0,27.21,0,1.88,0.27
136579,2022-02-11,USA-11001,District of Columbia,District of Columbia,192,182.43,25.85,4,2.29,0.32
139837,2022-02-12,USA-11001,District of Columbia,District of Columbia,0,182.43,25.85,0,2.29,0.32
143095,2022-02-13,USA-11001,District of Columbia,District of Columbia,0,182.43,25.85,0,2.29,0.32
146353,2022-02-14,USA-11001,District of Columbia,District of Columbia,475,160.71,22.77,0,2.29,0.32
149610,2022-02-15,USA-11001,District of Columbia,District of Columbia,44,154.57,21.9,0,2.29,0.32
152867,2022-02-16,USA-11001,District of Columbia,District of Columbia,120,153.57,21.76,2,0.86,0.12
156124,2022-02-17,USA-11001,District of Columbia,District of Columbia,128,137.0,19.41,2,1.0,0.14
159381,2022-02-18,USA-11001,District of Columbia,District of Columbia,110,125.29,17.75,1,0.71,0.1
162638,2022-02-19,USA-11001,District of Columbia,District of Columbia,0,125.29,17.75,0,0.71,0.1
165895,2022-02-20,USA-11001,District of Columbia,District of Columbia,0,125.29,17.75,0,0.71,0.1
169152,2022-02-21,USA-11001,District of Columbia,District of Columbia,0,125.29,17.75,0,0.71,0.1
172409,2022-02-22,USA-11001,District of Columbia,District of Columbia,369,103.86,14.72,1,0.55,0.08
175666,2022-02-23,USA-11001,District of Columbia,District of Columbia,48,93.57,13.26,2,0.86,0.12
178923,2022-02-24,USA-11001,District of Columbia,District of Columbia,100,89.57,12.69,0,0.86,0.12
182180,2022-02-25,USA-11001,District of Columbia,District of Columbia,112,89.86,12.73,0,0.86,0.12
185437,2022-02-26,USA-11001,District of Columbia,District of Columbia,0,89.86,12.73,0,0.86,0.12
188694,2022-02-27,USA-11001,District of Columbia,District of Columbia,0,89.86,12.73,0,0.86,0.12
191951,2022-02-28,USA-11001,District of Columbia,District of Columbia,238,86.7,12.28,1,0.4,0.06
195208,2022-03-01,USA-11001,District of Columbia,District of Columbia,59,79.57,11.27,1,0.57,0.08
198465,2022-03-02,USA-11001,District of Columbia,District of Columbia,55,80.57,11.42,2,0.57,0.08
201722,2022-03-03,USA-11001,District of Columbia,District of Columbia,0,80.57,11.42,0,0.57,0.08
204979,2022-03-04,USA-11001,District of Columbia,District of Columbia,0,80.57,11.42,0,0.57,0.08
208236,2022-03-05,USA-11001,District of Columbia,District of Columbia,0,80.57,11.42,0,0.57,0.08
211493,2022-03-06,USA-11001,District of Columbia,District of Columbia,0,80.57,11.42,0,0.57,0.08
214750,2022-03-07,USA-11001,District of Columbia,District of Columbia,0,80.57,11.42,0,0.57,0.08
218007,2022-03-08,USA-11001,District of Columbia,District of Columbia,0,80.57,11.42,0,0.57,0.08
221263,2022-03-09,USA-11001,District of Columbia,District of Columbia,408,58.29,8.26,3,0.43,0.06
224519,2022-03-10,USA-11001,District of Columbia,District of Columbia,0,58.29,8.26,0,0.43,0.06
227775,2022-03-11,USA-11001,District of Columbia,District of Columbia,137,60.56,8.58,2,0.56,0.08
231031,2022-03-12,USA-11001,District of Columbia,District of Columbia,0,60.56,8.58,0,0.56,0.08
234287,2022-03-13,USA-11001,District of Columbia,District of Columbia,0,60.56,8.58,0,0.56,0.08
237543,2022-03-14,USA-11001,District of Columbia,District of Columbia,0,60.56,8.58,0,0.56,0.08
240799,2022-03-15,USA-11001,District of Columbia,District of Columbia,0,60.56,8.58,0,0.56,0.08
244055,2022-03-16,USA-11001,District of Columbia,District of Columbia,0,60.56,8.58,0,0.56,0.08
247311,2022-03-17,USA-11001,District of Columbia,District of Columbia,352,61.13,8.66,1,0.38,0.05
250567,2022-03-18,USA-11001,District of Columbia,District of Columbia,106,65.43,9.27,0,0.38,0.05
253823,2022-03-19,USA-11001,District of Columbia,District of Columbia,71,66.13,9.37,0,0.38,0.05
257079,2022-03-20,USA-11001,District of Columbia,District of Columbia,0,66.13,9.37,0,0.38,0.05
260335,2022-03-21,USA-11001,District of Columbia,District of Columbia,0,66.13,9.37,0,0.38,0.05
263591,2022-03-22,USA-11001,District of Columbia,District of Columbia,132,60.09,8.51,2,0.27,0.04
266846,2022-03-23,USA-11001,District of Columbia,District of Columbia,71,61.0,8.64,0,0.27,0.04
270101,2022-03-24,USA-11001,District of Columbia,District of Columbia,107,69.57,9.86,0,0.27,0.04
273356,2022-03-25,USA-11001,District of Columbia,District of Columbia,151,76.0,10.77,2,0.5,0.07
276611,2022-03-26,USA-11001,District of Columbia,District of Columbia,109,81.43,11.54,0,0.5,0.07
279866,2022-03-27,USA-11001,District of Columbia,District of Columbia,0,81.43,11.54,0,0.5,0.07
283121,2022-03-28,USA-11001,District of Columbia,District of Columbia,0,81.43,11.54,0,0.5,0.07
286376,2022-03-29,USA-11001,District of Columbia,District of Columbia,184,88.86,12.59,0,0.5,0.07
289631,2022-03-30,USA-11001,District of Columbia,District of Columbia,92,91.86,13.02,0,0.5,0.07
292886,2022-03-31,USA-11001,District of Columbia,District of Columbia,0,91.86,13.02,0,0.5,0.07
296141,2022-04-01,USA-11001,District of Columbia,District of Columbia,288,96.14,13.62,2,0.29,0.04
299396,2022-04-02,USA-11001,District of Columbia,District of Columbia,0,96.14,13.62,0,0.29,0.04
302651,2022-04-03,USA-11001,District of Columbia,District of Columbia,0,96.14,13.62,0,0.29,0.04
305906,2022-04-04,USA-11001,District of Columbia,District of Columbia,0,96.14,13.62,0,0.29,0.04
309161,2022-04-05,USA-11001,District of Columbia,District of Columbia,0,96.14,13.62,0,0.29,0.04
312416,2022-04-06,USA-11001,District of Columbia,District of Columbia,717,143.57,20.34,-2,0.29,0.04
315671,2022-04-07,USA-11001,District of Columbia,District of Columbia,0,143.57,20.34,0,0.29,0.04
318926,2022-04-08,USA-11001,District of Columbia,District of Columbia,0,143.57,20.34,0,0.29,0.04
322181,2022-04-09,USA-11001,District of Columbia,District of Columbia,0,143.57,20.34,0,0.29,0.04
325435,2022-04-10,USA-11001,District of Columbia,District of Columbia,0,143.57,20.34,0,0.29,0.04
328689,2022-04-11,USA-11001,District of Columbia,District of Columbia,0,143.57,20.34,0,0.29,0.04
